,From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),RH (),WS (m/s),WD (degree),SR (W/mt2),RF (mm)
0,21-Apr-2020 - 00:00,22-Apr-2020 - 00:00,,,,,,,,,,,,,,,
1,22-Apr-2020 - 00:00,23-Apr-2020 - 00:00,,,,,,,,,,,,,,,
2,23-Apr-2020 - 00:00,24-Apr-2020 - 00:00,,,,,,,,,,,,,,,
3,24-Apr-2020 - 00:00,25-Apr-2020 - 00:00,21.56,43.16,11.46,7.1,18.5,17.77,11.56,0.3,25.21,3.23,69.97,1.32,216.2,243.29,0.33
4,25-Apr-2020 - 00:00,26-Apr-2020 - 00:00,19.44,39.84,12.22,7.7,20.17,18.3,15.73,0.35,17.46,3.09,81.01,1.54,171.52,187.59,0.05
5,26-Apr-2020 - 00:00,27-Apr-2020 - 00:00,28.85,52.38,12.16,7.54,19.72,17.68,8.0,0.33,15.73,2.14,87.21,1.45,98.62,132.69,0.01
6,27-Apr-2020 - 00:00,28-Apr-2020 - 00:00,21.75,40.57,11.71,7.08,18.79,17.55,7.81,0.28,15.45,1.28,83.99,1.3,100.28,111.42,0.0
7,28-Apr-2020 - 00:00,29-Apr-2020 - 00:00,16.04,35.39,11.68,6.6,18.27,16.9,8.03,0.3,17.33,1.15,80.92,1.34,105.1,181.21,0.0
8,29-Apr-2020 - 00:00,30-Apr-2020 - 00:00,28.29,54.0,12.14,7.04,19.18,16.88,8.17,0.35,20.56,1.8,78.2,1.19,116.86,157.66,0.0
9,30-Apr-2020 - 00:00,01-May-2020 - 00:00,36.05,70.5,12.82,6.5,19.32,17.16,8.43,0.36,18.82,2.4,75.6,1.16,103.76,163.5,0.0
10,01-May-2020 - 00:00,02-May-2020 - 00:00,28.26,55.36,12.31,8.57,20.81,13.89,7.51,0.32,15.67,4.88,83.24,1.16,152.28,160.85,0.0
11,02-May-2020 - 00:00,03-May-2020 - 00:00,22.88,47.49,8.48,9.92,17.96,16.41,10.5,0.46,15.2,3.57,86.05,1.38,88.13,112.27,0.01
12,03-May-2020 - 00:00,04-May-2020 - 00:00,30.48,54.55,10.13,8.58,18.69,15.98,8.61,0.47,19.71,2.47,75.19,1.22,119.94,206.95,0.0
13,04-May-2020 - 00:00,05-May-2020 - 00:00,45.89,83.71,10.1,9.07,19.16,16.07,7.71,0.57,15.97,3.05,73.62,0.85,170.69,157.87,0.0
14,05-May-2020 - 00:00,06-May-2020 - 00:00,25.62,48.18,10.48,7.28,17.78,15.46,8.52,0.44,18.4,1.23,71.32,0.8,139.87,148.49,0.0
15,06-May-2020 - 00:00,07-May-2020 - 00:00,11.93,32.7,10.67,7.95,18.62,15.45,12.44,0.39,21.85,5.86,77.96,0.75,168.99,363.59,0.15
16,07-May-2020 - 00:00,08-May-2020 - 00:00,26.5,46.3,22.05,16.7,36.79,7.83,9.74,0.3,24.51,1.2,71.08,0.75,111.43,39.71,0.02
17,08-May-2020 - 00:00,09-May-2020 - 00:00,27.33,47.69,10.01,14.78,24.78,7.06,7.05,0.46,22.15,6.24,69.91,0.93,187.59,216.99,0.0
18,09-May-2020 - 00:00,10-May-2020 - 00:00,42.41,76.01,9.94,13.78,23.72,6.93,3.83,0.47,19.66,2.91,66.93,0.64,183.03,204.78,0.0
19,10-May-2020 - 00:00,11-May-2020 - 00:00,54.27,93.69,9.19,14.05,23.35,6.52,2.88,0.55,13.84,2.98,75.89,0.52,160.46,266.23,0.18
20,11-May-2020 - 00:00,12-May-2020 - 00:00,29.62,62.34,9.66,14.73,24.38,7.07,5.92,0.65,22.06,1.59,67.95,0.66,191.93,216.06,0.0
21,12-May-2020 - 00:00,13-May-2020 - 00:00,32.96,79.49,11.51,17.68,29.02,7.87,6.87,0.47,22.09,16.82,69.39,13.13,177.81,195.95,0.0
22,13-May-2020 - 00:00,14-May-2020 - 00:00,34.12,74.85,16.5,17.04,33.54,7.41,4.75,0.64,20.06,7.75,67.97,30.54,197.11,177.35,0.0
23,14-May-2020 - 00:00,15-May-2020 - 00:00,29.14,47.55,17.27,17.71,34.98,7.81,3.8,0.39,13.24,10.05,82.21,30.82,186.62,18.63,0.0
24,15-May-2020 - 00:00,16-May-2020 - 00:00,44.34,90.76,,,,237.65,4.05,0.33,21.66,2.16,65.34,1.55,141.01,23.93,0.0
25,16-May-2020 - 00:00,17-May-2020 - 00:00,36.73,87.55,11.29,32.65,43.94,17.25,7.29,0.61,27.57,10.51,53.56,0.91,209.89,190.64,0.0
26,17-May-2020 - 00:00,18-May-2020 - 00:00,45.56,88.2,12.32,16.39,25.99,11.84,7.75,0.52,26.17,14.57,57.41,0.92,203.65,137.86,0.0
27,18-May-2020 - 00:00,19-May-2020 - 00:00,28.2,66.09,10.37,13.47,23.8,10.16,2.94,0.5,19.74,3.18,60.25,0.99,175.32,188.69,0.0
28,19-May-2020 - 00:00,20-May-2020 - 00:00,19.93,39.23,11.7,12.11,22.65,10.22,3.44,0.45,7.58,0.85,72.72,0.66,150.98,82.11,0.0
29,20-May-2020 - 00:00,21-May-2020 - 00:00,21.61,43.42,13.99,3.52,13.39,9.2,4.19,0.35,12.37,1.06,84.32,1.43,72.9,35.13,0.3
30,21-May-2020 - 00:00,22-May-2020 - 00:00,,,,,,,,,,,,,,,
31,22-May-2020 - 00:00,23-May-2020 - 00:00,23.58,54.6,12.89,6.41,19.28,7.32,3.48,0.4,19.57,1.11,70.6,0.92,188.94,194.94,0.0
32,23-May-2020 - 00:00,24-May-2020 - 00:00,41.89,84.46,14.89,6.06,20.92,8.03,3.71,0.51,13.9,0.7,79.83,0.7,170.48,237.38,0.0
33,24-May-2020 - 00:00,25-May-2020 - 00:00,43.49,95.02,12.74,6.99,19.51,7.12,2.2,0.43,16.76,1.01,73.08,0.88,177.93,77.35,0.0
34,25-May-2020 - 00:00,26-May-2020 - 00:00,29.49,70.36,14.84,5.69,20.52,7.62,2.2,0.52,14.93,0.88,79.02,1.18,193.06,139.82,0.0
35,26-May-2020 - 00:00,27-May-2020 - 00:00,29.7,68.83,13.31,7.07,20.37,8.85,2.29,0.51,14.36,1.0,78.64,1.39,204.38,132.84,0.0
36,27-May-2020 - 00:00,28-May-2020 - 00:00,20.68,49.36,11.97,8.12,20.09,9.87,2.95,0.54,12.07,1.02,88.11,0.79,157.77,78.97,0.11
37,28-May-2020 - 00:00,29-May-2020 - 00:00,18.84,35.24,12.69,7.7,20.39,10.16,3.25,0.43,23.87,1.18,87.59,0.74,149.72,56.4,0.0
38,29-May-2020 - 00:00,30-May-2020 - 00:00,34.95,67.81,12.08,7.9,19.98,9.85,4.72,0.5,27.42,1.87,78.3,0.59,175.49,153.25,0.0
39,30-May-2020 - 00:00,31-May-2020 - 00:00,35.07,72.29,10.89,9.39,18.74,9.15,4.81,0.42,11.53,1.71,83.57,0.71,182.58,117.03,0.04
40,31-May-2020 - 00:00,01-Jun-2020 - 00:00,28.49,64.21,12.42,7.68,20.1,10.09,5.13,0.5,19.12,7.69,82.05,0.72,181.14,140.6,0.02
41,01-Jun-2020 - 00:00,02-Jun-2020 - 00:00,23.65,51.99,13.65,5.5,19.0,9.86,4.27,0.46,17.46,11.7,80.4,0.93,205.29,168.38,0.2
42,02-Jun-2020 - 00:00,03-Jun-2020 - 00:00,31.54,68.44,16.85,2.21,18.77,10.11,4.89,0.6,22.55,5.55,71.1,0.72,211.55,189.05,0.0
