,From Date,To Date,PM2.5 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),(W/mt2),Xylene (ug/m3),RF (mm)
0,21-Apr-2020 - 00:00,22-Apr-2020 - 00:00,,,,,0.0,,,0.0,,0.0,0.0,,,,,,,,,0.0
1,22-Apr-2020 - 00:00,23-Apr-2020 - 00:00,,,,,0.0,,,0.0,,0.0,0.0,,,,,,,,,0.0
2,23-Apr-2020 - 00:00,24-Apr-2020 - 00:00,,,,,0.0,,,0.0,,0.0,0.0,,,,,,,,,0.0
3,24-Apr-2020 - 00:00,25-Apr-2020 - 00:00,,,,,0.0,,,0.0,,0.0,0.0,,,,,,,,,0.0
4,25-Apr-2020 - 00:00,26-Apr-2020 - 00:00,,,,,0.0,,,0.0,,0.0,0.0,,,,,,,,,0.0
5,26-Apr-2020 - 00:00,27-Apr-2020 - 00:00,,,,,0.0,,,0.0,,0.0,0.0,,,,,,,,,0.0
6,27-Apr-2020 - 00:00,28-Apr-2020 - 00:00,,,,,0.0,,,0.0,,0.0,0.0,,,,,,,,,0.0
7,28-Apr-2020 - 00:00,29-Apr-2020 - 00:00,,,,,0.0,,,0.0,,0.0,0.0,,,,,,,,,0.0
8,29-Apr-2020 - 00:00,30-Apr-2020 - 00:00,,,,,0.0,,,0.0,,0.0,0.0,,,,,,,,,0.0
9,30-Apr-2020 - 00:00,01-May-2020 - 00:00,9.64,14.24,0.6,1.86,0.4,1.85,4.19,0.08,1.03,0.0,0.0,,,,,,,,,0.0
10,01-May-2020 - 00:00,02-May-2020 - 00:00,12.99,18.63,0.83,2.46,1.03,2.51,5.94,0.17,1.92,5.31,5.48,5.36,5.38,5.32,60.09,3.8,122.52,57.84,,0.21
11,02-May-2020 - 00:00,03-May-2020 - 00:00,13.77,18.29,0.88,2.66,1.12,2.72,6.68,0.17,1.16,0.04,0.15,0.01,0.03,0.01,59.04,4.25,138.37,57.52,,0.26
12,03-May-2020 - 00:00,04-May-2020 - 00:00,9.94,13.27,0.91,2.67,1.09,2.72,6.66,0.15,0.76,0.04,0.11,0.02,0.03,,61.87,6.39,140.26,73.87,,0.04
13,04-May-2020 - 00:00,05-May-2020 - 00:00,14.14,18.69,0.89,2.64,1.11,2.72,6.96,0.2,0.11,0.04,0.2,,0.02,0.05,61.18,3.62,139.25,55.41,,0.08
14,05-May-2020 - 00:00,06-May-2020 - 00:00,16.25,24.1,0.87,2.58,1.06,2.66,6.97,0.16,5.04,0.09,0.14,0.02,0.05,0.01,49.45,5.06,140.58,86.04,,0.22
15,06-May-2020 - 00:00,07-May-2020 - 00:00,12.33,16.48,0.9,2.64,1.08,2.73,7.04,0.18,9.34,0.16,0.15,0.03,0.04,0.05,55.67,4.28,145.36,47.89,,0.43
